State,Household_ID,Income,Family_Size,Land_Owned,Occupation,Aadhaar_Linked,Existing_Benefits,Total_Ration_Cards,Age_Group,Eligible,Duplicate_Flag,Fraud_Flag
Tamil Nadu,HH00118,59997,2,0,Private Job,Yes,0,1,Child,0,0,0
Madhya Pradesh,HH00119,65559,8,0,Private Job,Yes,1,1,Senior,0,0,0
West Bengal,HH00120,67892,5,0,Private Job,Yes,0,2,Senior,0,1,0
West Bengal,HH00121,73409,7,1,Business,Yes,1,1,Senior,0,0,0
Bihar,HH00122,11635,1,1,Business,Yes,1,2,Child,0,1,0
Tamil Nadu,HH00123,36065,5,0,Government Job,Yes,1,1,Child,0,0,0
Andhra Pradesh,HH00124,36783,1,0,Business,Yes,0,2,Child,0,1,0
Maharashtra,HH00125,37152,8,1,Farmer,Yes,1,2,Adult,0,1,0
Maharashtra,HH00126,61741,4,0,Government Job,No,2,1,Child,0,0,1
Karnataka,HH00127,54502,4,1,Business,Yes,2,2,Child,0,1,0
Tamil Nadu,HH00128,32092,2,0,Private Job,Yes,1,1,Senior,0,0,0
Tamil Nadu,HH00129,20653,5,1,Business,Yes,1,2,Child,0,1,0
Maharashtra,HH00130,43469,1,0,Labour,Yes,2,1,Senior,0,0,0
Tamil Nadu,HH00131,89483,9,1,Government Job,Yes,0,2,Child,0,1,0
Bihar,HH00132,62754,5,0,Business,No,0,2,Child,0,1,0
Uttar Pradesh,HH00133,32978,6,0,Business,Yes,2,1,Child,0,0,0
Telangana,HH00134,90592,2,0,Farmer,Yes,0,2,Child,0,1,0
West Bengal,HH00135,97543,1,0,Private Job,Yes,0,1,Child,0,0,0
Madhya Pradesh,HH00136,46169,4,1,Private Job,Yes,1,1,Child,0,0,0
Karnataka,HH00137,51287,7,0,Farmer,Yes,0,2,Child,0,1,0
Uttar Pradesh,HH00138,57745,6,1,Farmer,Yes,2,2,Senior,0,1,0
Maharashtra,HH00139,8543,1,0,Labour,No,0,2,Adult,1,1,0
West Bengal,HH00140,59392,1,1,Government Job,Yes,1,1,Adult,0,0,0
Tamil Nadu,HH00141,24067,8,0,Private Job,Yes,2,1,Child,0,0,0
Madhya Pradesh,HH00142,54033,4,1,Farmer,Yes,2,1,Adult,0,0,0
Tamil Nadu,HH00143,48256,5,1,Farmer,Yes,2,1,Senior,0,0,0
Andhra Pradesh,HH00144,93633,7,0,Government Job,No,1,2,Senior,0,1,0
Andhra Pradesh,HH00145,72345,8,1,Farmer,No,2,1,Senior,0,0,1
Madhya Pradesh,HH00146,25191,7,1,Labour,Yes,1,1,Adult,0,0,0
Madhya Pradesh,HH00147,89803,2,0,Government Job,Yes,1,2,Adult,0,1,0
Maharashtra,HH00148,75742,4,0,Labour,Yes,0,2,Adult,0,1,0
Madhya Pradesh,HH00149,89593,1,0,Business,Yes,2,2,Child,0,1,1
Bihar,HH00150,31992,9,1,Private Job,Yes,0,1,Senior,0,0,0
Tamil Nadu,HH00151,84531,3,0,Farmer,No,0,2,Senior,0,1,0
Uttar Pradesh,HH00152,51803,3,0,Government Job,Yes,1,2,Child,0,1,0
Rajasthan,HH00153,66477,9,0,Labour,Yes,0,1,Adult,0,0,0
Madhya Pradesh,HH00154,16210,3,0,Private Job,Yes,0,1,Senior,1,0,0
Karnataka,HH00155,86329,8,1,Private Job,Yes,0,1,Adult,0,0,0
Andhra Pradesh,HH00156,29270,2,1,Farmer,Yes,2,1,Child,0,0,0
Bihar,HH00157,65008,3,0,Private Job,Yes,0,2,Adult,0,1,0
West Bengal,HH00158,8197,2,0,Farmer,Yes,1,1,Child,1,0,0
Rajasthan,HH00159,10452,1,1,Business,Yes,2,2,Adult,0,1,0
Uttar Pradesh,HH00160,44486,2,0,Farmer,Yes,1,2,Child,0,1,0
Rajasthan,HH00161,17859,8,0,Labour,Yes,2,1,Senior,1,0,0
Madhya Pradesh,HH00162,30236,9,0,Private Job,No,2,1,Child,0,0,0
Maharashtra,HH00163,34899,2,0,Private Job,No,2,1,Adult,0,0,0
Andhra Pradesh,HH00164,35083,7,0,Private Job,No,1,1,Senior,0,0,0
Andhra Pradesh,HH00165,70708,5,1,Farmer,Yes,0,2,Adult,0,1,0
West Bengal,HH00166,19663,3,0,Government Job,Yes,2,1,Adult,1,0,0
Maharashtra,HH00167,96076,9,1,Farmer,Yes,1,1,Child,0,0,0
Tamil Nadu,HH00168,22053,6,0,Labour,No,2,2,Child,0,1,0
Telangana,HH00169,14085,1,0,Farmer,Yes,0,2,Adult,1,1,0
Bihar,HH00170,33564,5,1,Private Job,Yes,2,2,Child,0,1,0
Andhra Pradesh,HH00171,92745,7,0,Business,Yes,1,1,Adult,0,0,0
Karnataka,HH00172,62095,4,0,Labour,Yes,2,2,Child,0,1,1
Andhra Pradesh,HH00173,72517,8,0,Business,Yes,1,2,Child,0,1,0
Rajasthan,HH00174,24153,5,0,Labour,Yes,0,2,Adult,0,1,0
Andhra Pradesh,HH00175,8247,9,1,Labour,Yes,0,1,Senior,0,0,0
Andhra Pradesh,HH00176,13553,9,0,Private Job,No,2,2,Child,1,1,0
Telangana,HH00177,23811,9,1,Farmer,Yes,0,1,Adult,0,0,0
Telangana,HH00178,98381,1,0,Private Job,No,1,2,Senior,0,1,0
Uttar Pradesh,HH00179,9135,2,0,Private Job,Yes,2,2,Child,1,1,0
Tamil Nadu,HH00180,8573,3,1,Private Job,Yes,1,2,Child,0,1,0
Karnataka,HH00181,82267,4,1,Business,Yes,2,2,Adult,0,1,1
Andhra Pradesh,HH00182,10189,9,0,Labour,Yes,1,2,Child,1,1,0
Andhra Pradesh,HH00183,83077,6,0,Government Job,Yes,2,2,Adult,0,1,1
Bihar,HH00184,46646,1,0,Farmer,Yes,1,1,Adult,0,0,0
Telangana,HH00185,79623,9,0,Private Job,Yes,1,1,Child,0,0,0
Karnataka,HH00186,56687,6,1,Labour,Yes,2,1,Senior,0,0,0
West Bengal,HH00187,71312,4,1,Farmer,Yes,1,2,Child,0,1,0
Uttar Pradesh,HH00188,30564,4,0,Government Job,Yes,0,1,Senior,0,0,0
Tamil Nadu,HH00189,31835,3,1,Government Job,Yes,1,2,Child,0,1,0
Maharashtra,HH00190,64587,7,0,Private Job,Yes,2,1,Senior,0,0,1
Tamil Nadu,HH00191,10697,3,0,Government Job,Yes,0,2,Child,1,1,0
Rajasthan,HH00192,83165,2,0,Government Job,Yes,0,1,Senior,0,0,0
Andhra Pradesh,HH00193,76922,8,1,Farmer,Yes,1,2,Senior,0,1,0
Uttar Pradesh,HH00194,20046,4,1,Farmer,Yes,1,2,Child,0,1,0
Rajasthan,HH00195,60823,8,0,Private Job,Yes,1,1,Child,0,0,0
Karnataka,HH00196,76580,1,0,Labour,Yes,0,2,Adult,0,1,0
Maharashtra,HH00197,56370,5,1,Private Job,Yes,0,1,Senior,0,0,0
Telangana,HH00198,12615,9,0,Business,Yes,0,1,Child,1,0,0
Uttar Pradesh,HH00199,8060,1,0,Government Job,Yes,2,1,Adult,1,0,0
Uttar Pradesh,HH00200,79436,4,1,Labour,No,2,1,Child,0,0,1
Andhra Pradesh,HH00201,63519,6,1,Farmer,Yes,1,2,Senior,0,1,0
Madhya Pradesh,HH00202,74117,8,0,Business,Yes,2,1,Child,0,0,1
Uttar Pradesh,HH00203,64158,3,0,Business,No,2,2,Child,0,1,1
Bihar,HH00204,37782,5,0,Government Job,Yes,1,2,Adult,0,1,0
Maharashtra,HH00205,88709,7,0,Farmer,Yes,1,2,Child,0,1,0
Maharashtra,HH00206,81533,1,1,Labour,No,0,1,Adult,0,0,0
Bihar,HH00207,61255,7,0,Farmer,No,0,2,Senior,0,1,0
West Bengal,HH00208,75684,8,1,Government Job,Yes,1,2,Senior,0,1,0
Bihar,HH00209,59918,8,0,Business,Yes,1,1,Child,0,0,0
Bihar,HH00210,87284,9,0,Government Job,Yes,2,2,Adult,0,1,1
Maharashtra,HH00211,82558,6,0,Private Job,Yes,2,2,Senior,0,1,1
Tamil Nadu,HH00212,88549,6,1,Business,Yes,2,2,Child,0,1,1
Maharashtra,HH00213,84422,2,0,Government Job,Yes,1,2,Child,0,1,0
Madhya Pradesh,HH00214,28256,3,0,Labour,No,1,2,Child,0,1,0
Andhra Pradesh,HH00215,33005,4,0,Labour,Yes,0,1,Child,0,0,0
Rajasthan,HH00216,9638,4,0,Labour,Yes,2,1,Child,1,0,0
Tamil Nadu,HH00217,40419,8,0,Private Job,Yes,0,1,Adult,0,0,0
Telangana,HH00218,36377,1,0,Farmer,Yes,1,1,Child,0,0,0
Rajasthan,HH00219,46116,4,0,Labour,Yes,2,1,Child,0,0,0
Andhra Pradesh,HH00220,39634,4,0,Private Job,Yes,0,2,Child,0,1,0
Madhya Pradesh,HH00221,85291,1,0,Labour,Yes,1,1,Child,0,0,0
Madhya Pradesh,HH00222,26382,3,0,Private Job,Yes,0,2,Child,0,1,0
Telangana,HH00223,59063,5,0,Labour,Yes,2,2,Child,0,1,0
Tamil Nadu,HH00224,25394,6,0,Farmer,Yes,0,1,Child,0,0,0
West Bengal,HH00225,70789,9,0,Government Job,Yes,0,1,Senior,0,0,0
Bihar,HH00226,3864,9,1,Labour,Yes,1,2,Senior,0,1,0
Tamil Nadu,HH00227,43222,9,0,Government Job,Yes,2,2,Child,0,1,0
West Bengal,HH00228,16666,1,0,Labour,Yes,0,1,Adult,1,0,0
Madhya Pradesh,HH00229,23955,9,0,Farmer,Yes,1,1,Child,0,0,0
Maharashtra,HH00230,84845,8,1,Government Job,No,2,2,Adult,0,1,1
Andhra Pradesh,HH00231,72590,2,1,Private Job,Yes,1,2,Adult,0,1,0
Telangana,HH00232,69471,1,0,Labour,Yes,2,1,Adult,0,0,1
Andhra Pradesh,HH00233,91314,1,0,Labour,Yes,1,1,Adult,0,0,0
Karnataka,HH00234,46298,6,0,Private Job,Yes,1,1,Adult,0,0,0
Karnataka,HH00235,66108,9,1,Farmer,Yes,1,2,Senior,0,1,0
Tamil Nadu,HH00236,51924,7,1,Business,Yes,0,2,Child,0,1,0
Madhya Pradesh,HH00237,19709,5,0,Labour,No,0,2,Senior,1,1,0
Madhya Pradesh,HH00238,12726,2,1,Private Job,Yes,1,2,Senior,0,1,0
Bihar,HH00239,63824,1,1,Business,Yes,2,1,Child,0,0,1
Bihar,HH00240,43542,2,0,Labour,Yes,1,1,Senior,0,0,0
Bihar,HH00241,23245,1,0,Government Job,Yes,0,2,Child,0,1,0
Maharashtra,HH00242,37753,3,0,Private Job,Yes,2,2,Child,0,1,0
Rajasthan,HH00243,82788,6,0,Government Job,Yes,0,1,Child,0,0,0
Uttar Pradesh,HH00244,24316,8,1,Farmer,No,1,2,Child,0,1,0
Rajasthan,HH00245,87698,3,0,Business,No,0,1,Adult,0,0,0
Andhra Pradesh,HH00246,18960,9,1,Private Job,Yes,0,1,Adult,0,0,0
Rajasthan,HH00247,33791,5,1,Labour,Yes,0,2,Senior,0,1,0
Maharashtra,HH00248,28216,7,0,Labour,Yes,1,2,Child,0,1,0
Andhra Pradesh,HH00249,35467,8,0,Business,Yes,0,1,Child,0,0,0
Rajasthan,HH00250,67427,3,1,Government Job,No,1,1,Child,0,0,0
Maharashtra,HH00251,65047,2,1,Government Job,Yes,1,2,Child,0,1,0
Uttar Pradesh,HH00252,76290,2,1,Private Job,Yes,0,2,Adult,0,1,0
Rajasthan,HH00253,50014,5,0,Private Job,Yes,2,2,Adult,0,1,0
Maharashtra,HH00254,7078,1,0,Government Job,Yes,0,1,Adult,1,0,0
Bihar,HH00255,81389,2,0,Private Job,Yes,0,2,Senior,0,1,0
Madhya Pradesh,HH00256,53519,9,1,Government Job,No,0,1,Child,0,0,0
Bihar,HH00257,7042,7,0,Business,Yes,2,1,Adult,1,0,0
Madhya Pradesh,HH00258,52052,6,1,Private Job,Yes,2,2,Adult,0,1,0
Telangana,HH00259,17389,9,0,Government Job,Yes,1,1,Child,1,0,0
Telangana,HH00260,98961,7,1,Private Job,Yes,2,2,Adult,0,1,1
Telangana,HH00261,71111,5,0,Labour,Yes,2,2,Child,0,1,1
Uttar Pradesh,HH00262,96715,9,0,Labour,Yes,0,2,Child,0,1,0
Bihar,HH00263,53733,6,0,Farmer,Yes,1,2,Adult,0,1,0
Madhya Pradesh,HH00264,37754,6,0,Government Job,Yes,1,2,Senior,0,1,0
Maharashtra,HH00265,21624,4,0,Farmer,Yes,2,1,Child,0,0,0
Andhra Pradesh,HH00266,88886,1,0,Government Job,Yes,2,2,Senior,0,1,1
Maharashtra,HH00267,29681,5,0,Private Job,Yes,0,1,Adult,0,0,0
Andhra Pradesh,HH00268,92524,9,0,Government Job,No,2,2,Child,0,1,1
Karnataka,HH00269,84006,8,1,Labour,Yes,2,2,Child,0,1,1
Maharashtra,HH00270,27704,8,0,Private Job,Yes,1,2,Adult,0,1,0
Rajasthan,HH00271,97913,5,0,Labour,No,2,2,Senior,0,1,1
Rajasthan,HH00272,97108,9,1,Private Job,Yes,0,1,Adult,0,0,0
Tamil Nadu,HH00273,10493,3,0,Government Job,Yes,1,2,Adult,1,1,0
Bihar,HH00274,72639,3,1,Government Job,Yes,1,2,Adult,0,1,0
Andhra Pradesh,HH00275,57383,1,0,Labour,Yes,2,2,Senior,0,1,0
Andhra Pradesh,HH00276,5994,9,0,Business,Yes,0,1,Child,1,0,0
Bihar,HH00277,72280,6,0,Government Job,Yes,1,2,Child,0,1,0
Uttar Pradesh,HH00278,50234,2,0,Business,No,0,1,Adult,0,0,0
Tamil Nadu,HH00279,50291,8,0,Private Job,Yes,0,2,Adult,0,1,0
Uttar Pradesh,HH00280,95868,9,0,Business,Yes,2,2,Senior,0,1,1
Uttar Pradesh,HH00281,8594,9,0,Labour,Yes,0,2,Adult,1,1,0
Uttar Pradesh,HH00282,10371,2,0,Farmer,Yes,1,2,Senior,1,1,0
Bihar,HH00283,50315,2,0,Farmer,Yes,2,2,Senior,0,1,0
Uttar Pradesh,HH00284,86564,7,0,Labour,Yes,1,2,Senior,0,1,0
Rajasthan,HH00285,82526,4,0,Farmer,Yes,0,2,Adult,0,1,0
Telangana,HH00286,19626,1,0,Labour,Yes,0,1,Child,1,0,0
Karnataka,HH00287,89005,8,0,Government Job,Yes,2,2,Senior,0,1,1
Andhra Pradesh,HH00288,10130,2,0,Business,No,2,2,Child,1,1,0
Andhra Pradesh,HH00289,9828,3,0,Farmer,Yes,1,1,Senior,1,0,0
Karnataka,HH00290,60514,5,0,Government Job,No,1,2,Adult,0,1,0
Bihar,HH00291,55664,3,0,Farmer,Yes,0,2,Senior,0,1,0
Maharashtra,HH00292,20883,7,0,Private Job,Yes,2,1,Senior,0,0,0
Bihar,HH00293,46059,7,0,Labour,Yes,0,2,Child,0,1,0
Andhra Pradesh,HH00294,87078,2,0,Labour,No,0,2,Adult,0,1,0
Andhra Pradesh,HH00295,45932,7,0,Government Job,Yes,1,1,Senior,0,0,0
Karnataka,HH00296,64269,6,0,Private Job,Yes,1,1,Adult,0,0,0
Uttar Pradesh,HH00297,78986,9,0,Business,Yes,1,2,Child,0,1,0
Bihar,HH00298,88959,9,0,Private Job,Yes,2,1,Adult,0,0,1
Madhya Pradesh,HH00299,5035,2,1,Private Job,Yes,1,1,Adult,0,0,0
Karnataka,HH00300,43745,7,1,Business,Yes,2,1,Child,0,0,0
Rajasthan,HH00301,20241,5,0,Business,No,0,2,Senior,0,1,0
Andhra Pradesh,HH00302,55975,6,0,Private Job,Yes,2,2,Senior,0,1,0
Karnataka,HH00303,26154,1,0,Farmer,Yes,1,1,Adult,0,0,0
Bihar,HH00304,28625,7,1,Farmer,Yes,2,1,Senior,0,0,0
Andhra Pradesh,HH00305,47950,6,0,Private Job,Yes,2,1,Child,0,0,0
Maharashtra,HH00306,59396,4,1,Farmer,Yes,1,1,Adult,0,0,0
Karnataka,HH00307,16331,1,0,Business,Yes,1,2,Adult,1,1,0
Tamil Nadu,HH00308,66927,9,0,Business,Yes,0,2,Senior,0,1,0
Andhra Pradesh,HH00309,89226,4,0,Farmer,No,2,2,Senior,0,1,1
Bihar,HH00310,87719,2,0,Business,Yes,0,2,Senior,0,1,0
Telangana,HH00311,66014,8,0,Labour,Yes,0,1,Adult,0,0,0
Madhya Pradesh,HH00312,42346,2,0,Business,Yes,2,2,Senior,0,1,0
West Bengal,HH00313,73411,5,0,Private Job,Yes,0,1,Adult,0,0,0
Uttar Pradesh,HH00314,57478,6,1,Government Job,No,2,1,Senior,0,0,0
West Bengal,HH00315,15254,8,0,Farmer,Yes,0,1,Adult,1,0,0
Bihar,HH00316,58734,1,0,Farmer,No,0,1,Adult,0,0,0
Rajasthan,HH00317,31621,1,0,Business,Yes,2,2,Adult,0,1,0
Rajasthan,HH00318,79441,4,1,Business,Yes,1,1,Senior,0,0,0
Telangana,HH00319,49121,5,1,Government Job,Yes,2,1,Senior,0,0,0
Uttar Pradesh,HH00320,84418,9,0,Government Job,Yes,1,1,Child,0,0,0
Tamil Nadu,HH00321,63197,7,0,Private Job,Yes,2,1,Adult,0,0,1
Telangana,HH00322,87577,7,0,Labour,No,2,2,Senior,0,1,1
West Bengal,HH00323,97634,8,0,Private Job,Yes,1,1,Child,0,0,0
Telangana,HH00324,45431,5,0,Farmer,Yes,1,2,Child,0,1,0
West Bengal,HH00325,7837,5,1,Business,Yes,2,1,Senior,0,0,0
Andhra Pradesh,HH00326,93025,1,0,Private Job,Yes,2,2,Adult,0,1,1
Rajasthan,HH00327,86163,9,0,Business,Yes,2,1,Child,0,0,1
Andhra Pradesh,HH00328,74232,6,0,Business,Yes,1,1,Child,0,0,0
Madhya Pradesh,HH00329,51994,9,1,Private Job,Yes,2,2,Adult,0,1,0
Uttar Pradesh,HH00330,82079,3,0,Private Job,Yes,1,2,Senior,0,1,0
Tamil Nadu,HH00331,15615,5,0,Government Job,Yes,0,2,Adult,1,1,0
West Bengal,HH00332,4466,2,0,Labour,Yes,1,1,Adult,1,0,0
Tamil Nadu,HH00333,33771,5,0,Government Job,No,0,2,Senior,0,1,0
West Bengal,HH00334,86886,8,1,Labour,Yes,2,2,Child,0,1,1
